Date,Open,Close,High,Low,Volume,Supply,Exchange
29-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
30-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
31-Mar-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
1-Apr-22,$15.00 ,$15.00 ,$15.00 ,$15.00 ,$0.00 ,"7,023,964",INX Securities
2-Apr-22,$15.00 ,$14.94 ,$15.00 ,$14.94 ,$14.94 ,"7,023,964",INX Securities
3-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
4-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
5-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
6-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
7-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
8-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
9-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
10-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
11-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
12-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
13-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
14-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
15-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
16-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
17-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
18-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
19-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
20-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
21-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
22-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$0.00 ,"7,023,964",INX Securities
23-Apr-22,$14.94 ,$14.94 ,$14.94 ,$14.94 ,$14.94 ,"7,023,964",INX Securities
