Date,Open,Close,High,Low,Volume,MarketCap,Supply,Exchange
"Apr 9, 2022",$10.98,$10.98,$10.98,$10.98,$0.00,"$77,123,124.72","7,023,964",Securitize Markets
"Apr 10, 2022",$10.98,$10.98,$10.98,$10.98,$0.00,"$77,123,124.72","7,023,964",Securitize Markets
"Apr 11, 2022",$10.98,$10.98,$10.98,$10.98,$0.00,"$77,123,124.72","7,023,964",Securitize Markets
"Apr 12, 2022",$10.98,$10.98,$10.98,$10.98,$0.00,"$77,123,124.72","7,023,964",Securitize Markets
"Apr 13, 2022",$10.98,$10.99,$10.99,$10.98,$43.96,"$77,193,364.36","7,023,964",Securitize Markets
"Apr 14, 2022",$10.99,$10.99,$10.99,$10.99,$0.00,"$77,193,364.36","7,023,964",Securitize Markets
"Apr 15, 2022",$10.99,$10.99,$10.99,$10.99,$0.00,"$77,193,364.36","7,023,964",Securitize Markets
"Apr 16, 2022",$10.99,$10.99,$10.99,$10.99,$0.00,"$77,193,364.36","7,023,964",Securitize Markets
"Apr 17, 2022",$10.99,$10.99,$10.99,$10.99,$0.00,"$77,193,364.36","7,023,964",Securitize Markets
"Apr 18, 2022",$10.99,$10.88,$10.99,$10.88,$21.76,"$76,420,728.32","7,023,964",Securitize Markets
"Apr 19, 2022",$10.88,$10.85,$10.88,$10.85,$43.40,"$76,210,009.40","7,023,964",Securitize Markets
"Apr 20, 2022",$10.85,$10.84,$10.85,$10.84,"$1,094.84","$76,139,769.76","7,023,964",Securitize Markets
"Apr 21, 2022",$10.84,$10.95,$10.95,$10.84,$251.85,"$76,912,405.80","7,023,964",Securitize Markets
"Apr 22, 2022",$10.95,$10.95,$10.95,$10.95,$810.30,"$76,912,405.80","7,023,964",Securitize Markets
"Apr 23, 2022",$10.95,$10.95,$10.95,$10.95,$0.00,"$76,912,405.80","7,023,964",Securitize Markets
"Apr 24, 2022",$10.95,$10.95,$10.95,$10.95,$0.00,"$76,912,405.80","7,023,964",Securitize Markets
"Apr 25, 2022",$10.95,$8.00,$10.95,$8.00,"$10,008.00","$56,191,712.00","7,023,964",Securitize Markets
"Apr 26, 2022",$8.00,$10.50,$10.50,$8.00,$42.00,"$73,751,622.00","7,023,964",Securitize Markets
"Apr 27, 2022",$10.50,$10.00,$10.50,$10.00,$10.00,"$70,239,640.00","7,023,964",Securitize Markets
"Apr 28, 2022",$10.00,$8.00,$10.00,$8.00,"$7,920.00","$56,191,712.00","7,023,964",Securitize Markets
"Apr 29, 2022",$8.00,$8.00,$8.00,$8.00,$0.00,"$56,191,712.00","7,023,964",Securitize Markets
"Apr 30, 2022",$8.00,$8.00,$8.00,$8.00,$0.00,"$56,191,712.00","7,023,964",Securitize Markets
"May 1, 2022",$8.00,$8.00,$8.00,$8.00,$0.00,"$56,191,712.00","7,023,964",Securitize Markets
"May 2, 2022",$8.00,$8.00,$8.00,$8.00,$0.00,"$56,191,712.00","7,023,964",Securitize Markets
"May 3, 2022",$8.00,$8.00,$8.00,$8.00,$0.00,"$56,191,712.00","7,023,964",Securitize Markets
"May 4, 2022",$8.00,$12.00,$12.00,$8.00,$12.00,"$84,287,568.00","7,023,964",Securitize Markets
"May 5, 2022",$12.00,$8.50,$12.00,$8.50,"$11,900.00","$59,703,694.00","7,023,964",Securitize Markets
"May 6, 2022",$8.50,$8.50,$8.50,$8.50,$0.00,"$59,703,694.00","7,023,964",Securitize Markets
"May 7, 2022",$8.50,$8.50,$8.50,$8.50,$0.00,"$59,703,694.00","7,023,964",Securitize Markets
"May 8, 2022",$8.50,$8.50,$8.50,$8.50,$0.00,"$59,703,694.00","7,023,964",Securitize Markets
"May 9, 2022",$8.50,$5.50,$8.50,$5.50,"$31,531.50","$38,631,802.00","7,023,964",Securitize Markets
"May 10, 2022",$5.50,$8.00,$8.00,$5.50,$240.00,"$56,191,712.00","7,023,964",Securitize Markets
"May 11, 2022",$8.00,$5.50,$8.00,$5.50,"$25,085.50","$38,631,802.00","7,023,964",Securitize Markets
"May 12, 2022",$5.50,$5.50,$5.50,$5.50,$550.00,"$38,631,802.00","7,023,964",Securitize Markets
